id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6885767,Real New York City Cozy Living,36080537,Samara,Manhattan,Hell's Kitchen,40.75603,-73.99247,Entire home/apt,95,1,0,,,1,0
6885805,Private room in South Williamsburg,5743711,Frasier,Brooklyn,Williamsburg,40.70748,-73.95503,Private room,75,2,2,2015-10-11,0.04,1,0
6886371,Bright Large Hell's Kitchen Studio,1694147,Rachel,Manhattan,Hell's Kitchen,40.76734,-73.98676,Entire home/apt,199,3,13,2019-05-28,0.27,1,4
6887405,Private Room in Comfy NYC Apt!,11081099,Rob,Manhattan,Harlem,40.82878,-73.94625,Private room,50,1,1,2015-06-27,0.02,1,0
6887755,Spacious and nice 2BR near Subway,21426910,Allen,Brooklyn,Gravesend,40.59627,-73.97287,Entire home/apt,109,2,224,2019-07-05,4.70,2,73
6892731,"Clean Safe Apartment  Kitchen, Wifi  Parking +more",36119026,Mila,Brooklyn,Sheepshead Bay,40.58804,-73.95674,Entire home/apt,120,2,15,2019-06-23,0.40,1,334
6895056,Nice Single room sublet for April 1st onward!,10348305,Devin,Brooklyn,Flatbush,40.63967,-73.96424,Private room,50,27,3,2018-07-31,0.06,1,17
6895123,"Large, Sunny 1 BR  GREENPOINT",7107154,Zyanna,Brooklyn,Greenpoint,40.73659,-73.95354,Entire home/apt,95,5,4,2017-01-01,0.11,1,0
6896715,Charming 1br apartment in midtown,10489933,Michelle,Manhattan,Midtown,40.76003,-73.96969,Entire home/apt,180,30,0,,,1,177
6897911,Chic and Cozy Heart of Williamsburg,72773,Guillerma,Brooklyn,Williamsburg,40.72004,-73.95615,Private room,100,3,51,2019-06-22,1.07,1,345
6898240,Spacious Midtown Retreat!,11395856,Claire,Manhattan,Kips Bay,40.74508,-73.97854,Entire home/apt,350,3,6,2015-12-29,0.13,1,0
6898600,Bright cozy apartment,32775769,Remigijus,Brooklyn,Midwood,40.61679,-73.95521,Entire home/apt,89,7,5,2019-01-05,0.10,1,251
