Port Name,State,Port Code,Border,Date,Measure,Value
Algonac,MI,3814,US-Canada Border,2/1/2020 00:00,Personal Vehicles,2701
Ambrose,ND,3410,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,274
Ambrose,ND,3410,US-Canada Border,2/1/2020 00:00,Personal Vehicles,129
Ambrose,ND,3410,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,2
Ambrose,ND,3410,US-Canada Border,2/1/2020 00:00,Trucks,2
Andrade,CA,2502,US-Mexico Border,2/1/2020 00:00,Pedestrians,115655
Andrade,CA,2502,US-Mexico Border,2/1/2020 00:00,Personal Vehicle Passengers,82972
Andrade,CA,2502,US-Mexico Border,2/1/2020 00:00,Personal Vehicles,44277
Antler,ND,3413,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,911
Antler,ND,3413,US-Canada Border,2/1/2020 00:00,Personal Vehicles,451
Antler,ND,3413,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,136
Antler,ND,3413,US-Canada Border,2/1/2020 00:00,Trucks,140
Baudette,MN,3424,US-Canada Border,2/1/2020 00:00,Bus Passengers,229
Baudette,MN,3424,US-Canada Border,2/1/2020 00:00,Buses,9
Baudette,MN,3424,US-Canada Border,2/1/2020 00:00,Pedestrians,25
Baudette,MN,3424,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,19445
Baudette,MN,3424,US-Canada Border,2/1/2020 00:00,Personal Vehicles,11293
Baudette,MN,3424,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,507
Baudette,MN,3424,US-Canada Border,2/1/2020 00:00,Truck Containers Full,28
Baudette,MN,3424,US-Canada Border,2/1/2020 00:00,Trucks,543
Beecher Falls,VT,206,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,4524
Beecher Falls,VT,206,US-Canada Border,2/1/2020 00:00,Personal Vehicles,2779
Beecher Falls,VT,206,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,641
Beecher Falls,VT,206,US-Canada Border,2/1/2020 00:00,Truck Containers Full,291
Beecher Falls,VT,206,US-Canada Border,2/1/2020 00:00,Trucks,942
Blaine,WA,3004,US-Canada Border,2/1/2020 00:00,Bus Passengers,13565
Blaine,WA,3004,US-Canada Border,2/1/2020 00:00,Buses,758
Blaine,WA,3004,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,490925
Blaine,WA,3004,US-Canada Border,2/1/2020 00:00,Personal Vehicles,275045
Blaine,WA,3004,US-Canada Border,2/1/2020 00:00,Rail Containers Empty,10090
Blaine,WA,3004,US-Canada Border,2/1/2020 00:00,Rail Containers Full,7296
Blaine,WA,3004,US-Canada Border,2/1/2020 00:00,Train Passengers,3283
Blaine,WA,3004,US-Canada Border,2/1/2020 00:00,Trains,164
Blaine,WA,3004,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,9534
Blaine,WA,3004,US-Canada Border,2/1/2020 00:00,Truck Containers Full,18745
Blaine,WA,3004,US-Canada Border,2/1/2020 00:00,Trucks,27772
Boquillas,TX,2410,US-Mexico Border,2/1/2020 00:00,Pedestrians,3036
Boundary,WA,3015,US-Canada Border,2/1/2020 00:00,Bus Passengers,23
Boundary,WA,3015,US-Canada Border,2/1/2020 00:00,Buses,1
Boundary,WA,3015,US-Canada Border,2/1/2020 00:00,Pedestrians,2
Boundary,WA,3015,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,3042
Boundary,WA,3015,US-Canada Border,2/1/2020 00:00,Personal Vehicles,1805
Boundary,WA,3015,US-Canada Border,2/1/2020 00:00,Rail Containers Empty,463
Boundary,WA,3015,US-Canada Border,2/1/2020 00:00,Rail Containers Full,635
Boundary,WA,3015,US-Canada Border,2/1/2020 00:00,Train Passengers,48
Boundary,WA,3015,US-Canada Border,2/1/2020 00:00,Trains,24
Boundary,WA,3015,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,15
Boundary,WA,3015,US-Canada Border,2/1/2020 00:00,Trucks,15
Bridgewater,ME,127,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,4818
Bridgewater,ME,127,US-Canada Border,2/1/2020 00:00,Personal Vehicles,2740
Bridgewater,ME,127,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,186
Bridgewater,ME,127,US-Canada Border,2/1/2020 00:00,Truck Containers Full,31
Bridgewater,ME,127,US-Canada Border,2/1/2020 00:00,Trucks,218
Brownsville,TX,2301,US-Mexico Border,2/1/2020 00:00,Bus Passengers,3072
Brownsville,TX,2301,US-Mexico Border,2/1/2020 00:00,Buses,469
Brownsville,TX,2301,US-Mexico Border,2/1/2020 00:00,Pedestrians,232880
Brownsville,TX,2301,US-Mexico Border,2/1/2020 00:00,Personal Vehicle Passengers,638585
Brownsville,TX,2301,US-Mexico Border,2/1/2020 00:00,Personal Vehicles,361923
Brownsville,TX,2301,US-Mexico Border,2/1/2020 00:00,Rail Containers Empty,7226
Brownsville,TX,2301,US-Mexico Border,2/1/2020 00:00,Rail Containers Full,923
Brownsville,TX,2301,US-Mexico Border,2/1/2020 00:00,Trains,84
Brownsville,TX,2301,US-Mexico Border,2/1/2020 00:00,Truck Containers Empty,12733
Brownsville,TX,2301,US-Mexico Border,2/1/2020 00:00,Truck Containers Full,10313
Brownsville,TX,2301,US-Mexico Border,2/1/2020 00:00,Trucks,23012
Buffalo-Niagara Falls,NY,901,US-Canada Border,2/1/2020 00:00,Bus Passengers,17341
Buffalo-Niagara Falls,NY,901,US-Canada Border,2/1/2020 00:00,Buses,747
Buffalo-Niagara Falls,NY,901,US-Canada Border,2/1/2020 00:00,Pedestrians,8443
Buffalo-Niagara Falls,NY,901,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,603760
Buffalo-Niagara Falls,NY,901,US-Canada Border,2/1/2020 00:00,Personal Vehicles,296867
Buffalo-Niagara Falls,NY,901,US-Canada Border,2/1/2020 00:00,Rail Containers Empty,2739
Buffalo-Niagara Falls,NY,901,US-Canada Border,2/1/2020 00:00,Rail Containers Full,8933
Buffalo-Niagara Falls,NY,901,US-Canada Border,2/1/2020 00:00,Train Passengers,707
Buffalo-Niagara Falls,NY,901,US-Canada Border,2/1/2020 00:00,Trains,155
Buffalo-Niagara Falls,NY,901,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,17323
Buffalo-Niagara Falls,NY,901,US-Canada Border,2/1/2020 00:00,Truck Containers Full,51203
Buffalo-Niagara Falls,NY,901,US-Canada Border,2/1/2020 00:00,Trucks,67684
Calais,ME,115,US-Canada Border,2/1/2020 00:00,Bus Passengers,178
Calais,ME,115,US-Canada Border,2/1/2020 00:00,Buses,7
Calais,ME,115,US-Canada Border,2/1/2020 00:00,Pedestrians,289
Calais,ME,115,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,65505
Calais,ME,115,US-Canada Border,2/1/2020 00:00,Personal Vehicles,40956
Calais,ME,115,US-Canada Border,2/1/2020 00:00,Rail Containers Empty,58
Calais,ME,115,US-Canada Border,2/1/2020 00:00,Rail Containers Full,75
Calais,ME,115,US-Canada Border,2/1/2020 00:00,Train Passengers,26
Calais,ME,115,US-Canada Border,2/1/2020 00:00,Trains,12
Calais,ME,115,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,1589
Calais,ME,115,US-Canada Border,2/1/2020 00:00,Truck Containers Full,2868
Calais,ME,115,US-Canada Border,2/1/2020 00:00,Trucks,4395
Calexico,CA,2503,US-Mexico Border,2/1/2020 00:00,Pedestrians,280949
Calexico,CA,2503,US-Mexico Border,2/1/2020 00:00,Personal Vehicle Passengers,678645
Calexico,CA,2503,US-Mexico Border,2/1/2020 00:00,Personal Vehicles,419497
Calexico East,CA,2507,US-Mexico Border,2/1/2020 00:00,Bus Passengers,3880
Calexico East,CA,2507,US-Mexico Border,2/1/2020 00:00,Buses,97
Calexico East,CA,2507,US-Mexico Border,2/1/2020 00:00,Pedestrians,36008
Calexico East,CA,2507,US-Mexico Border,2/1/2020 00:00,Personal Vehicle Passengers,401101
Calexico East,CA,2507,US-Mexico Border,2/1/2020 00:00,Personal Vehicles,239387
Calexico East,CA,2507,US-Mexico Border,2/1/2020 00:00,Rail Containers Empty,526
Calexico East,CA,2507,US-Mexico Border,2/1/2020 00:00,Rail Containers Full,45
Calexico East,CA,2507,US-Mexico Border,2/1/2020 00:00,Train Passengers,18
Calexico East,CA,2507,US-Mexico Border,2/1/2020 00:00,Trains,17
Calexico East,CA,2507,US-Mexico Border,2/1/2020 00:00,Truck Containers Empty,14588
Calexico East,CA,2507,US-Mexico Border,2/1/2020 00:00,Truck Containers Full,18946
Calexico East,CA,2507,US-Mexico Border,2/1/2020 00:00,Trucks,33203
Carbury,ND,3421,US-Canada Border,2/1/2020 00:00,Bus Passengers,51
Carbury,ND,3421,US-Canada Border,2/1/2020 00:00,Buses,3
Carbury,ND,3421,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,2208
Carbury,ND,3421,US-Canada Border,2/1/2020 00:00,Personal Vehicles,1100
Carbury,ND,3421,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,101
Carbury,ND,3421,US-Canada Border,2/1/2020 00:00,Truck Containers Full,290
Carbury,ND,3421,US-Canada Border,2/1/2020 00:00,Trucks,246
Champlain-Rouses Point,NY,712,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,126874
Champlain-Rouses Point,NY,712,US-Canada Border,2/1/2020 00:00,Personal Vehicles,55925
Champlain-Rouses Point,NY,712,US-Canada Border,2/1/2020 00:00,Rail Containers Empty,431
